Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23492806,The Year of the Locust,Terry Hayes,"Hayes, Terry",,"=""1439177759""","=""9781439177754""",0,3.62,Atria/Emily Bestler Books,Hardcover,480,,2023,,2024/01/01,to-read,to-read (#380),to-read,,,,0,0
58409712,"The Art of Prophecy (War Arts, #1)",Wesley Chu,"Chu, Wesley",,"=""0593237633""","=""9780593237632""",0,4.11,Del Rey,Hardcover,533,2022,2022,,2023/06/02,to-read,to-read (#379),to-read,,,,0,0
25131600,"Aftermath (Star Wars: Aftermath, #1)",Chuck Wendig,"Wendig, Chuck",,"=""080417766X""","=""9780804177665""",0,3.30,Del Rey,ebook,366,2015,2015,,2024/01/17,currently-reading,currently-reading (#3),currently-reading,,,,1,0
10816297,"Kill Shot (Mitch Rapp, #2)",Vince Flynn,"Flynn, Vince",,"=""1416595201""","=""9781416595205""",4,4.31,Emily Bestler Atria Simon & Schuster,Hardcover,385,2012,2012,2024/01/13,2022/01/10,,,read,,,,1,0
11543565,Hannibal,Jacob Abbott,"Abbott, Jacob",,"=""""","=""""",0,3.66,,Kindle Edition,199,,1849,,2019/12/14,to-read,to-read (#328),to-read,,,,0,0
28789711,SPQR: A History of Ancient Rome,Mary Beard,"Beard, Mary",,"=""1631492225""","=""9781631492228""",0,4.05,Liveright,Paperback,606,2016,2015,,2024/01/01,currently-reading,currently-reading (#1),currently-reading,,,,1,0
55841848,Learning Go: An Idiomatic Approach to Real-World Go Programming,Jon Bodner,"Bodner, Jon",,"=""1492077216""","=""9781492077213""",0,4.47,O'Reilly Media,Paperback,375,2021,,,2024/01/01,currently-reading,currently-reading (#2),currently-reading,,,,1,0
62918663,Agents of Influence: How the KGB Subverted Western Democracies,Mark Hollingsworth,"Hollingsworth, Mark",,"=""0861542169""","=""9780861542161""",0,3.69,Oneworld Publications,Hardcover,320,2023,,,2023/06/02,"non-fiction, to-read","non-fiction (#1), to-read (#378)",to-read,,,,0,0
12416366,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.21,Orion Publishing,Kindle Edition,336,2012,2011,2023/10/31,2019/12/14,,,read,,,,1,0
40604754,"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",Timothy Zahn,"Zahn, Timothy",,"=""""","=""""",5,4.16,Del Rey,Kindle Edition,434,2011,1991,2023/10/31,2023/10/31,,,read,,,,1,0
44033470,The Sword of Kaigen,M.L.  Wang,"Wang, M.L.",,"=""172019386X""","=""9781720193869""",0,4.46,Independently Published,Paperback,630,2019,2018,,2021/10/09,to-read,to-read (#377),to-read,,,,0,0
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",4,4.13,Random House,Hardcover,375,2012,2012,2023/06/02,2022/01/10,,,read,,,,1,0
21856367,"The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,"=""147670869X""","=""9781476708690""",4,4.11,Simon and Schuster,Hardcover,542,2014,2011,2022/03/09,2021/09/25,,,read,,,,1,0
56088604,Avatar: The Last Airbender - The Promise Omnibus,Gene Luen Yang,"Yang, Gene Luen",Gurihuru,"=""1506717845""","=""9781506717845""",0,4.42,Dark Horse Books,Paperback,232,2020,2013,,2021/02/05,to-read,to-read (#375),to-read,,,,0,0
44777327,"Heir of Novron (The Riyria Revelations, #5-6)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""0356501086""","=""9780356501086""",4,4.50,Orbit,Paperback,924,2012,2012,2021/12/31,2021/09/25,,,read,,,,1,0
